DateTime,AltmanZScore
2023-03-31,0.2457
2022-12-31,0.2352
2022-09-30,0.2295
2022-06-30,0.2251
2022-03-31,0.2535
2021-12-31,0.2451
2021-09-30,0.231
2021-06-30,0.2428
2021-03-31,0.2411
2020-12-31,0.2036
2020-09-30,0.2081
2020-06-30,0.2298
2020-03-31,0.232
2019-12-31,0.2843
2019-09-30,0.2952
2019-06-30,0.5728
2019-03-31,0.5606
2018-12-31,0.2611
2018-09-30,0.3105
2018-06-30,0.2785
2018-03-31,0.5251
2017-12-31,0.5184
2017-09-30,0.5167
2017-06-30,0.5449
2017-03-31,0.5503
2016-12-31,0.5135
2016-09-30,0.4691
2016-06-30,0.4402
2016-03-31,0.4207
2015-12-31,0.4484
2015-09-30,0.4192
2015-06-30,0.414
2015-03-31,0.4556
2014-12-31,0.434
2014-09-30,0.4292
2014-06-30,0.424
2014-03-31,0.4685
2013-12-31,0.4681
2013-09-30,0.5698
2013-06-30,0.5613
2013-03-31,0.5782
2012-12-31,0.5492
2012-09-30,0.2415
2012-06-30,0.1941
2012-03-31,0.2048
2011-12-31,0.4885
2011-09-30,0.1717
2011-06-30,0.1754
2011-03-31,0.198
2010-12-31,0.1807
