DateTime,AltmanZScore
2023-06-30,4.568
2023-03-31,4.741
2022-12-31,4.81
2022-09-30,4.617
2022-06-30,4.72
2022-03-31,4.64
2021-12-31,4.572
2021-09-30,4.216
2021-06-30,4.251
2021-03-31,4.17
2020-12-31,3.976
2020-09-30,3.914
2020-06-30,3.958
2020-03-31,3.791
2019-12-31,4.15
2019-09-30,4.278
2019-06-30,4.102
2019-03-31,3.978
2018-12-31,3.761
2018-09-30,4.171
2018-06-30,4.096
2018-03-31,4.158
2017-12-31,4.21
2017-09-30,3.549
2017-06-30,4.359
2017-03-31,4.664
2016-12-31,4.41
2016-09-30,5.109
2016-06-30,5.229
2016-03-31,5.408
2015-12-31,5.055
2015-09-30,5.167
2015-06-30,5.38
2015-03-31,5.416
2014-12-31,5.444
2014-09-30,5.626
2014-06-30,6.498
2014-03-31,6.035
2013-12-31,6.32
2013-09-30,6.105
2013-06-30,6.318
2013-03-31,6.684
2012-12-31,6.552
2012-09-30,5.926
2012-06-30,6.713
2012-03-31,6.727
2011-12-31,6.318
2011-09-30,5.708
2011-06-30,6.264
2011-03-31,7.136
