DateTime,AltmanZScore
2023-06-30,0.2437
2023-03-31,0.4111
2022-12-31,0.4373
2022-09-30,0.4301
2022-06-30,0.487
2022-03-31,0.5187
2021-12-31,0.5589
2021-09-30,0.5335
2021-06-30,0.5111
2021-03-31,0.4545
2020-12-31,0.384
2020-09-30,0.311
2020-06-30,0.2953
2020-03-31,0.3113
2019-12-31,0.3655
2019-09-30,0.3285
2019-06-30,0.3336
2019-03-31,0.3352
2018-12-31,0.3099
2018-09-30,0.308
2018-06-30,0.3005
2018-03-31,0.3398
2017-12-31,0.3224
2017-09-30,0.3101
2017-06-30,0.3018
2017-03-31,0.2688
2016-12-31,0.3176
2016-09-30,0.2891
2016-06-30,0.2662
2016-03-31,0.2472
2015-12-31,0.2613
2015-09-30,0.2929
2015-06-30,0.3263
2015-03-31,0.3302
2014-12-31,0.3217
2014-09-30,0.3175
2014-06-30,0.3245
2014-03-31,0.3495
2013-12-31,0.3499
2013-09-30,0.3501
2013-06-30,0.4148
2013-03-31,0.4357
2012-12-31,0.4497
2012-09-30,0.2321
2012-06-30,0.2371
2012-03-31,0.2529
2011-12-31,0.5197
2011-09-30,0.2072
2011-06-30,0.2091
2011-03-31,0.4275
