DateTime,AltmanZScore
2023-03-31,-6.666
2022-12-31,-5.336
2022-09-30,-4.616
2022-06-30,-2.296
2022-03-31,-1.144
2021-12-31,1.862
2021-09-30,5.692
2021-06-30,12.37
2021-03-31,10.72
2020-12-31,1.408
2020-09-30,-1.791
2020-06-30,-0.7532
2020-03-31,-5.268
2019-12-31,-5.024
2019-09-30,-5.028
2019-06-30,-4.85
2019-03-31,-7.025
2018-12-31,-7.581
2018-09-30,-9.15
2018-06-30,-9.09
2018-03-31,-8.584
2017-12-31,-7.126
2017-09-30,-5.372
2017-06-30,-3.699
2017-03-31,-2.961
2016-12-31,-4.46
2016-09-30,-2.384
2016-06-30,-1.811
2016-03-31,-3.568
2015-12-31,-3.018
2015-09-30,-3.431
2015-06-30,-3.416
2015-03-31,2.682
2014-12-31,1.414
2014-09-30,1.182
2014-06-30,0.0952
2014-03-31,0.4385
2013-12-31,-1.075
2013-09-30,-1.763
2013-06-30,-1.648
2013-03-31,-1.836
2012-12-31,-1.94
2012-09-30,-3.814
2012-06-30,-3.673
2012-03-31,-3.515
2011-12-31,-4.108
2011-09-30,-2.255
2011-06-30,-0.0128
2011-03-31,0.8777
2010-12-31,0.9577
