DateTime,AltmanZScore
2023-03-31,-5.028
2022-12-31,-4.471
2022-09-30,-4.344
2022-06-30,-5.56
2022-03-31,-5.459
2021-12-31,-5.36
2021-09-30,-5.478
2021-06-30,-5.618
2021-03-31,-5.777
2020-12-31,-5.26
2020-09-30,-4.646
2020-06-30,-3.931
2020-03-31,-3.139
2019-12-31,-0.5784
2019-09-30,-1.584
2019-06-30,-0.7361
2019-03-31,-2.827
2018-12-31,-1.812
2018-09-30,0.0781
2018-06-30,-0.9795
2018-03-31,-4.883
2017-12-31,-3.495
2017-09-30,-2.328
2017-06-30,0.3251
2017-03-31,0.7809
2016-12-31,0.9898
2016-09-30,4.046
2016-06-30,16.02
2016-03-31,15.32
2015-12-31,39.23
2015-09-30,60.46
2015-06-30,111.8
2015-03-31,146.86
2014-12-31,81.74
2014-09-30,119.9
2014-06-30,143.59
2014-03-31,6.264
2013-12-31,10.22
2013-09-30,10.72
2013-06-30,10.21
2013-03-31,6.941
2012-12-31,6.386
