DateTime,AltmanZScore
2023-03-31,3.601
2022-12-31,3.027
2022-09-30,2.775
2022-06-30,3.59
2022-03-31,3.688
2021-12-31,3.675
2021-09-30,3.257
2021-06-30,3.861
2021-03-31,3.584
2020-12-31,3.488
2020-09-30,3.418
2020-06-30,3.665
2020-03-31,3.49
2019-12-31,3.306
2019-09-30,3.175
2019-06-30,3.718
2019-03-31,3.913
2018-12-31,4.127
2018-09-30,4.496
2018-06-30,5.706
2018-03-31,5.575
2017-12-31,4.054
2017-09-30,3.817
2017-06-30,4.344
2017-03-31,4.19
2016-12-31,4.624
2016-09-30,4.556
2016-06-30,3.224
2016-03-31,3.934
2015-12-31,3.168
2015-09-30,3.181
2015-06-30,3.236
2015-03-31,3.303
2014-12-31,3.924
2014-09-30,3.467
2014-06-30,3.677
2014-03-31,3.73
2013-12-31,3.395
2013-09-30,3.694
2013-06-30,4.937
2013-03-31,5.791
2012-12-31,5.434
2012-09-30,5.093
2012-06-30,3.873
2012-03-31,4.14
2011-12-31,4.39
2011-09-30,4.352
2011-06-30,3.971
2011-03-31,5.342
2010-12-31,4.735
