DateTime,AltmanZScore
2023-04-30,8.259
2023-01-31,7.822
2022-10-31,8.088
2022-07-31,8.351
2022-04-30,7.728
2022-01-31,10.24
2021-10-31,22.6
2021-07-31,17.86
2021-04-30,14.05
2021-01-31,12.53
2020-10-31,14.87
2020-07-31,11.51
2020-04-30,17.76
2020-01-31,19.05
2019-10-31,20.36
2019-07-31,21.61
2019-04-30,17.88
2019-01-31,17.8
2018-10-31,20.2
2018-07-31,18.36
2018-04-30,12.37
2018-01-31,10.89
2017-10-31,12.85
2017-07-31,12.54
2017-04-30,9.822
2017-01-31,8.854
2016-10-31,9.876
2016-07-31,9.648
2016-04-30,7.71
2016-01-31,7.407
2015-10-31,9.392
2015-07-31,9.916
2015-04-30,8.614
2015-01-31,8.267
2014-10-31,10.69
2014-07-31,10.14
2014-04-30,8.838
2014-01-31,8.308
2013-10-31,10.61
2013-07-31,8.913
2013-04-30,7.632
2013-01-31,7.586
2012-10-31,9.244
2012-07-31,8.393
2012-04-30,7.476
2012-01-31,6.33
2011-10-31,6.913
2011-07-31,5.974
2011-04-30,6.147
2011-01-31,5.548
