DateTime,AltmanZScore
2023-03-31,-1.268
2022-12-31,-0.2888
2022-09-30,2.136
2022-06-30,2.61
2022-03-31,6.072
2021-12-31,12.81
2021-09-30,7.132
2021-06-30,3.13
2021-03-31,-3.422
2020-12-31,-4.1
2020-09-30,-4.642
2020-06-30,-5.128
2020-03-31,-5.615
2019-12-31,-4.839
2019-09-30,-4.609
2019-06-30,-4.864
2019-03-31,-5.354
2018-12-31,-6.222
2018-09-30,-6.431
2018-06-30,-6.779
2018-03-31,-7.344
2017-12-31,-8.498
2017-09-30,-8.475
2017-06-30,-8.093
2017-03-31,-11.11
2016-12-31,-12.18
2016-09-30,-12.93
2016-06-30,-13.12
2016-03-31,-12.83
2015-12-31,-10.17
2015-09-30,-6.148
2015-06-30,-4.435
2015-03-31,-3.687
2014-12-31,-2.323
2014-09-30,-1.855
2014-06-30,-5.507
2014-03-31,-5.489
2013-12-31,-6.718
2013-09-30,-3.775
2013-06-30,-2.717
2013-03-31,-3.471
2012-12-31,-3.211
2012-09-30,-4.697
2012-06-30,-4.199
2012-03-31,-0.7266
2011-12-31,-0.1764
2011-09-30,-0.0798
2011-06-30,0.1999
2011-03-31,-0.1006
2010-12-31,-0.4301
