DateTime,AltmanZScore
2023-03-31,7.622
2022-12-31,5.96
2022-09-30,6.447
2022-06-30,6.3
2022-03-31,6.639
2021-12-31,7.399
2021-09-30,6.423
2021-06-30,5.901
2021-03-31,9.936
2020-12-31,8.373
2020-09-30,6.74
2020-06-30,8.852
2020-03-31,7.596
2019-12-31,8.906
2019-09-30,9.102
2019-06-30,8.316
2019-03-31,8.836
2018-12-31,8.438
2018-09-30,8.835
2018-06-30,7.348
2018-03-31,6.787
2017-12-31,6.382
2017-09-30,6.269
2017-06-30,5.9
2017-03-31,5.968
2016-12-31,5.584
2016-09-30,5.477
2016-06-30,4.935
2016-03-31,5.028
2015-12-31,4.465
2015-09-30,4.622
2015-06-30,5.363
2015-03-31,8.753
2014-12-31,7.593
2014-09-30,7.358
2014-06-30,7.732
2014-03-31,8.712
2013-12-31,7.888
2013-09-30,8.824
2013-06-30,8.698
2013-03-31,5.521
2012-12-31,4.662
2012-09-30,5.569
2012-06-30,5.495
2012-03-31,4.578
2011-12-31,4.222
2011-09-30,4.076
2011-06-30,5.121
2011-03-31,4.534
2010-12-31,5.124
