DateTime,AltmanZScore
2023-03-31,1.786
2022-12-31,1.758
2022-09-30,1.377
2022-06-30,1.58
2022-03-31,1.641
2021-12-31,2.004
2021-09-30,2.462
2021-06-30,2.86
2021-03-31,2.05
2020-12-31,2.077
2020-09-30,1.492
2020-06-30,1.658
2020-03-31,1.658
2019-12-31,2.082
2019-09-30,1.915
2019-06-30,1.73
2019-03-31,1.481
2018-12-31,1.328
2018-09-30,1.542
2018-06-30,1.412
2018-03-31,1.475
2017-12-31,2.381
2017-09-30,3.034
2017-06-30,2.736
2017-03-31,2.772
2016-12-31,2.919
2016-09-30,2.46
2016-06-30,2.182
2016-03-31,1.966
2015-12-31,1.829
2015-09-30,1.664
2015-06-30,1.675
2015-03-31,1.867
2014-12-31,1.846
2014-09-30,1.79
2014-06-30,1.714
2014-03-31,1.521
2013-12-31,1.655
2013-09-30,1.973
2013-06-30,2.079
2013-03-31,2.277
2012-12-31,2.27
2012-09-30,2.209
2012-06-30,1.271
2012-03-31,1.37
2011-12-31,1.125
2011-09-30,1.14
2011-06-30,2.086
2011-03-31,2.26
2010-12-31,2.206
