DateTime,AltmanZScore
2022-12-31,4.54
2022-09-30,4.54
2022-06-30,4.54
2022-03-31,4.54
2021-12-31,4.543
2021-09-30,4.543
2021-06-30,4.543
2021-03-31,4.543
2020-12-31,3.247
2020-09-30,3.247
2020-06-30,3.247
2020-03-31,3.247
2019-12-31,3.357
2019-09-30,3.357
2019-06-30,3.866
2019-03-31,3.866
2018-12-31,4.032
2018-09-30,4.032
2018-06-30,4.032
2018-03-31,4.032
2017-12-31,8.168
2017-09-30,8.168
2017-06-30,8.168
2017-03-31,8.168
2016-12-31,7.736
2016-09-30,7.736
2016-06-30,7.736
2016-03-31,7.736
2015-12-31,7.563
2015-09-30,7.563
2015-06-30,7.563
2015-03-31,7.563
2014-12-31,7.908
2014-09-30,7.908
2014-06-30,7.908
2014-03-31,7.908
2013-12-31,6.817
2013-09-30,6.817
2013-06-30,6.817
2013-03-31,6.817
2012-12-31,5.635
2012-09-30,5.635
2012-06-30,5.635
2012-03-31,5.635
2011-12-31,5.658
2011-09-30,5.658
2011-06-30,5.658
2011-03-31,5.658
2010-12-31,4.702
2010-09-30,4.702
