DateTime,AltmanZScore
2023-03-31,-8.418
2022-12-31,-10.18
2022-09-30,-9.384
2022-06-30,-9.265
2022-03-31,-8.228
2021-12-31,-7.404
2021-09-30,-5.058
2021-06-30,-1.533
2021-03-31,-0.8046
2020-12-31,-5.321
2020-09-30,-8.652
2020-06-30,-8.067
2020-03-31,-9.145
2019-12-31,-7.816
2019-09-30,-7.638
2019-06-30,-8.052
2019-03-31,-6.204
2018-12-31,-5.905
2018-09-30,-3.975
2018-06-30,-3.384
2018-03-31,-2.778
2017-12-31,-3.325
2017-09-30,-1.854
2017-06-30,-22.96
2017-03-31,-32.01
2016-12-31,-28.87
2016-09-30,-18.73
2016-06-30,-12.38
2016-03-31,-6.714
2015-12-31,-5.751
