DateTime,AltmanZScore
2023-03-31,0.9126
2022-12-31,0.8589
2022-09-30,0.7997
2022-06-30,0.8094
2022-03-31,0.9493
2021-12-31,0.9756
2021-09-30,0.841
2021-06-30,0.5631
2021-03-31,0.46
2020-12-31,0.4607
2020-09-30,0.6716
2020-06-30,0.9041
2020-03-31,1.253
2019-12-31,1.778
2019-09-30,1.762
2019-06-30,1.735
2019-03-31,1.552
2018-12-31,1.604
2018-09-30,1.793
2018-06-30,1.904
2018-03-31,2.112
2017-12-31,2.284
2017-09-30,2.027
2017-06-30,2.152
2017-03-31,2.069
2016-12-31,2.271
2016-09-30,2.005
2016-06-30,1.952
2016-03-31,2.117
2015-12-31,2.16
2015-09-30,2.168
2015-06-30,1.895
2015-03-31,1.846
2014-12-31,1.683
2014-09-30,1.445
2014-06-30,1.44
2014-03-31,1.191
2013-12-31,1.206
2013-09-30,1.075
2013-06-30,0.9984
2013-03-31,1.054
2012-12-31,1.067
2012-09-30,1.12
2012-06-30,1.122
2012-03-31,1.08
2011-12-31,1.052
2011-09-30,1.017
2011-06-30,1.059
2011-03-31,1.047
2010-12-31,1.076
