DateTime,AltmanZScore
2023-03-31,1.267
2022-12-31,1.247
2022-09-30,1.184
2022-06-30,1.178
2022-03-31,1.202
2021-12-31,1.09
2021-09-30,1.219
2021-06-30,1.088
2021-03-31,1.073
2020-12-31,1.173
2020-09-30,1.187
2020-06-30,1.143
2020-03-31,1.049
2019-12-31,1.111
2019-09-30,1.514
2019-06-30,1.58
2019-03-31,1.544
2018-12-31,1.528
2018-09-30,1.577
2018-06-30,1.552
2018-03-31,1.515
2017-12-31,1.563
2017-09-30,1.608
2017-06-30,1.621
2017-03-31,1.667
2016-12-31,1.651
2016-09-30,1.567
2016-06-30,1.581
2016-03-31,1.584
2015-12-31,1.592
2015-09-30,1.477
2015-06-30,1.451
2015-03-31,1.427
2014-12-31,1.405
