DateTime,AltmanZScore
2023-03-31,3.357
2022-12-31,2.985
2022-09-30,3.305
2022-06-30,3.253
2022-03-31,6.529
2021-12-31,11.18
2021-09-30,17.42
2021-06-30,15.17
2021-03-31,10.48
2020-12-31,5.846
2020-09-30,4.065
2020-06-30,3.488
2020-03-31,2.695
2019-12-31,3.83
2019-09-30,4.118
2019-06-30,4.432
2019-03-31,3.908
2018-12-31,2.51
2018-09-30,3.054
2018-06-30,2.803
2018-03-31,1.756
2017-12-31,0.5195
2017-09-30,1.241
2017-06-30,-0.1133
2017-03-31,-0.0847
2016-12-31,-1.366
2016-09-30,-0.5875
2016-06-30,-0.3931
2016-03-31,0.8451
2015-12-31,2.869
2015-09-30,2.504
2015-06-30,4.638
2015-03-31,3.814
2014-12-31,3.496
