DateTime,AltmanZScore
2023-06-30,1.405
2023-03-31,1.5
2022-12-31,1.55
2022-09-30,1.634
2022-06-30,1.654
2022-03-31,1.77
2021-12-31,1.697
2021-09-30,1.527
2021-06-30,1.531
2021-03-31,1.464
2020-12-31,1.361
2020-09-30,1.216
2020-06-30,1.219
2020-03-31,1.093
2019-12-31,1.254
2019-09-30,1.174
2019-06-30,1.194
2019-03-31,1.099
2018-12-31,1.002
2018-09-30,0.8657
2018-06-30,2.997
2018-03-31,2.981
2017-12-31,2.846
2017-09-30,2.603
2017-06-30,2.586
2017-03-31,2.829
2016-12-31,2.971
2016-09-30,3.208
2016-06-30,3.422
2016-03-31,3.26
2015-12-31,3.137
2015-09-30,3.042
2015-06-30,2.912
2015-03-31,2.985
2014-12-31,2.928
2014-09-30,2.803
2014-06-30,2.478
2014-03-31,2.361
2013-12-31,2.227
2013-09-30,2.193
2013-06-30,2.206
2013-03-31,2.14
2012-12-31,2.081
2012-09-30,2.004
2012-06-30,1.982
2012-03-31,1.947
2011-12-31,1.812
2011-09-30,1.79
2011-06-30,1.858
2011-03-31,1.787
