DateTime,AltmanZScore
2023-03-31,1.013
2022-12-31,0.9472
2022-09-30,1.057
2022-06-30,1.019
2022-03-31,1.218
2021-12-31,1.339
2021-09-30,1.377
2021-06-30,1.611
2021-03-31,1.683
2020-12-31,1.505
2020-09-30,1.462
2020-06-30,1.508
2020-03-31,1.524
2019-12-31,1.548
2019-09-30,1.598
2019-06-30,1.684
2019-03-31,2.0
2018-12-31,2.185
2018-09-30,2.383
2018-06-30,2.312
2018-03-31,2.294
2017-12-31,2.47
2017-09-30,2.669
2017-06-30,2.597
2017-03-31,2.698
2016-12-31,2.45
2016-09-30,2.209
2016-06-30,2.125
2016-03-31,2.073
2015-12-31,2.136
2015-09-30,2.124
2015-06-30,2.038
2015-03-31,1.999
2014-12-31,1.994
2014-09-30,1.923
2014-06-30,1.781
2014-03-31,1.768
2013-12-31,1.816
2013-09-30,1.522
2013-06-30,1.434
2013-03-31,1.485
2012-12-31,1.502
2012-09-30,1.762
2012-06-30,1.752
2012-03-31,1.704
2011-12-31,1.652
2011-09-30,1.56
2011-06-30,1.56
2011-03-31,1.473
2010-12-31,1.531
