DateTime,AltmanZScore
2023-03-31,-3.172
2022-12-31,-7.442
2022-09-30,-6.155
2022-06-30,-4.782
2022-03-31,-0.5258
2021-12-31,3.019
2021-09-30,10.66
2021-06-30,17.43
2021-03-31,26.34
2020-12-31,-1.445
2020-09-30,-5.961
2020-06-30,-6.345
2020-03-31,-9.895
2019-12-31,-9.108
2019-09-30,-6.625
2019-06-30,-4.496
2019-03-31,-3.542
2018-12-31,-3.439
2018-09-30,3.086
2018-06-30,6.351
2018-03-31,8.814
2017-12-31,6.498
2017-09-30,7.519
2017-06-30,7.978
2017-03-31,7.026
2016-12-31,4.823
2016-09-30,3.289
2016-06-30,3.54
2016-03-31,3.031
2015-12-31,7.347
2015-09-30,8.136
2015-06-30,7.083
2015-03-31,9.337
2014-12-31,8.446
2014-09-30,9.347
2014-06-30,8.75
2014-03-31,11.29
2013-12-31,12.55
2013-09-30,10.21
2013-06-30,10.59
2013-03-31,12.36
2012-12-31,5.473
2012-09-30,6.13
2012-06-30,6.12
2012-03-31,6.877
2011-12-31,6.455
2011-09-30,7.04
2011-06-30,9.918
2011-03-31,8.917
2010-12-31,7.678
