DateTime,AltmanZScore
2023-03-31,-3.746
2022-12-31,-4.039
2022-09-30,-3.57
2022-06-30,-3.024
2022-03-31,-4.353
2021-12-31,-2.887
2021-09-30,-2.136
2021-06-30,-1.926
2021-03-31,-2.025
2020-12-31,-1.326
2020-09-30,-0.7071
2020-06-30,-2.156
2020-03-31,-2.402
2019-12-31,-2.032
2019-09-30,-1.405
2019-06-30,1.687
2019-03-31,2.3
2018-12-31,-1.265
2018-09-30,-2.259
2018-06-30,-2.282
2018-03-31,-2.108
2017-12-31,-1.957
2017-09-30,-2.044
2017-06-30,-2.399
2017-03-31,-2.043
2016-12-31,-1.701
2016-09-30,-1.342
2016-06-30,-0.9138
2016-03-31,-0.7673
2015-12-31,-0.3991
2015-09-30,-0.478
2015-06-30,0.6218
2015-03-31,1.984
2014-12-31,1.399
2014-09-30,0.7886
2014-06-30,1.195
2014-03-31,2.378
2013-12-31,26.87
2013-09-30,17.34
2013-06-30,17.38
2013-03-31,19.46
2012-12-31,14.4
2012-09-30,15.69
2012-06-30,7.187
2012-03-31,6.145
2011-12-31,3.735
2011-09-30,4.066
2011-06-30,5.77
2011-03-31,4.315
