DateTime,AltmanZScore
2023-06-30,6.858
2023-03-31,6.314
2022-12-31,5.877
2022-09-30,6.566
2022-06-30,6.043
2022-03-31,6.09
2021-12-31,6.387
2021-09-30,6.151
2021-06-30,6.416
2021-03-31,6.388
2020-12-31,6.283
2020-09-30,5.85
2020-06-30,5.662
2020-03-31,5.206
2019-12-31,5.953
2019-09-30,5.761
2019-06-30,5.626
2019-03-31,5.851
2018-12-31,5.772
2018-09-30,6.05
2018-06-30,5.91
2018-03-31,5.783
2017-12-31,5.878
2017-09-30,5.821
2017-06-30,6.469
2017-03-31,6.281
2016-12-31,6.14
2016-09-30,5.96
2016-06-30,5.676
2016-03-31,6.462
2015-12-31,6.408
2015-09-30,6.155
2015-06-30,7.613
2015-03-31,7.988
2014-12-31,8.872
2014-09-30,8.06
2014-06-30,8.974
2014-03-31,9.409
2013-12-31,9.168
2013-09-30,8.266
2013-06-30,7.837
2013-03-31,7.349
2012-12-31,6.792
2012-09-30,6.055
2012-06-30,6.521
2012-03-31,6.486
2011-12-31,5.892
2011-09-30,5.257
2011-06-30,5.495
2011-03-31,5.696
