DateTime,AltmanZScore
2023-05-31,-12.49
2023-02-28,32.57
2022-11-30,25.58
2022-08-31,43.44
2022-05-31,25.23
2022-02-28,59.81
2021-11-30,60.8
2021-08-31,101.54
2021-05-31,61.6
2021-02-28,35.75
2020-11-30,8.147
2020-08-31,36.02
2020-05-31,117.59
2020-02-29,228.96
2019-11-30,150.18
2019-08-31,160.1
2019-05-31,315.77
2019-02-28,117.11
2018-11-30,393.69
2018-08-31,2109.88
2018-05-31,942.2
2018-02-28,836.74
2017-11-30,347.62
2017-08-31,146.93
2017-05-31,167.83
2017-02-28,22.02
2016-11-30,-1.668
2016-08-31,-27.14
2016-05-31,-55.54
2016-02-29,-45.2
2015-11-30,-15.69
2015-08-31,-15.69
2015-05-31,-15.69
2015-02-28,-15.69
2014-11-30,-15.69
2014-07-31,-0.2776
2014-04-30,2.088
2014-01-31,-2.587
2013-10-31,-2.405
2013-07-31,-1.524
2013-04-30,-0.8816
2013-01-31,-1.402
2012-10-31,-1.008
2012-07-31,-1.167
2012-04-30,-1.436
2012-01-31,-0.3622
2011-10-31,-0.2122
2011-07-31,-0.2416
2011-04-30,-0.0453
2011-01-31,-0.2661
