DateTime,AltmanZScore
2023-03-31,2.286
2022-12-31,2.15
2022-09-30,2.192
2022-06-30,2.373
2022-03-31,2.909
2021-12-31,3.287
2021-09-30,3.741
2021-06-30,3.657
2021-03-31,4.323
2020-12-31,4.474
2020-09-30,5.365
2020-06-30,7.482
2020-03-31,6.746
2019-12-31,7.974
2019-09-30,6.945
2019-06-30,6.413
2019-03-31,6.541
2018-12-31,5.63
2018-09-30,5.587
2018-06-30,4.004
2018-03-31,2.786
2017-12-31,3.063
2017-09-30,2.794
2017-06-30,2.879
2017-03-31,3.32
2016-12-31,4.504
2016-09-30,4.638
2016-06-30,4.992
2016-03-31,4.159
2015-12-31,3.462
2015-09-30,2.775
2015-06-30,2.9
2015-03-31,3.378
2014-12-31,4.418
2014-09-30,4.246
2014-06-30,4.439
2014-03-31,3.188
2013-12-31,3.654
2013-09-30,11.63
2013-06-30,10.57
2013-03-31,11.22
2012-12-31,10.53
2012-09-30,17.57
2012-06-30,13.63
2012-03-31,19.91
2011-12-31,-1.693
2011-09-30,-9.528
2011-06-30,-16.23
2011-03-31,-5.372
2010-12-31,-2.776
