DateTime,AltmanZScore
2023-03-31,2.619
2022-12-31,2.609
2022-09-30,2.647
2022-06-30,2.819
2022-03-31,2.952
2021-12-31,2.934
2021-09-30,2.758
2021-06-30,2.741
2021-03-31,2.503
2020-12-31,2.243
2020-09-30,1.95
2020-06-30,1.77
2020-03-31,1.764
2019-12-31,1.493
2019-09-30,1.312
2019-06-30,1.334
2019-03-31,1.413
2018-12-31,1.675
2018-09-30,1.787
2018-06-30,1.767
2018-03-31,1.823
2017-12-31,1.502
2017-09-30,1.23
2017-06-30,1.391
2017-03-31,1.575
2016-12-31,1.333
2016-09-30,2.293
2016-06-30,2.332
2016-03-31,2.167
2015-12-31,1.965
2015-09-30,1.264
2015-06-30,0.962
2015-03-31,1.18
2014-12-31,1.168
2014-09-30,0.4825
2014-06-30,1.45
2014-03-31,1.558
2013-12-31,1.601
2013-09-30,2.09
2013-06-30,2.305
2013-03-31,2.335
2012-12-31,2.155
2012-09-30,2.081
2012-06-30,2.375
2012-03-31,2.821
2011-12-31,3.103
2011-09-30,3.402
2011-06-30,4.549
2011-03-31,4.478
2010-12-31,3.973
