DateTime,AltmanZScore
2023-03-31,5.365
2022-12-31,25.33
2022-09-30,29.12
2022-06-30,27.51
2022-03-31,45.64
2021-12-31,32.22
2021-09-30,29.42
2021-06-30,28.7
2021-03-31,60.72
2020-12-31,24.9
2020-09-30,11.43
2020-06-30,11.43
2020-03-31,11.43
2019-12-31,18.81
2019-09-30,18.81
2018-09-30,19.18
2018-06-30,18.5
2018-03-31,31.16
2017-12-31,29.38
2017-09-30,53.03
2017-06-30,36.65
2017-03-31,51.2
2016-12-31,31.57
2016-09-30,36.96
2016-06-30,48.24
2016-03-31,23.26
2015-12-31,12.63
2015-09-30,23.3
2015-06-30,17.49
2015-03-31,21.66
2014-12-31,12.19
