DateTime,AltmanZScore
2023-03-31,1.653
2022-12-31,1.674
2022-09-30,1.979
2022-06-30,2.754
2022-03-31,3.236
2021-12-31,4.541
2021-09-30,4.058
2021-06-30,4.035
2021-03-31,4.308
2020-12-31,4.216
2020-09-30,3.642
2020-06-30,3.795
2020-03-31,3.525
2019-12-31,3.512
2019-09-30,3.039
2019-06-30,3.12
2019-03-31,3.162
2018-12-31,2.729
2018-09-30,5.785
2018-06-30,5.492
2018-03-31,5.774
2017-12-31,4.672
2017-09-30,4.892
2017-06-30,4.955
2017-03-31,4.106
2016-12-31,7.69
2016-09-30,9.288
2016-06-30,6.417
2016-03-31,6.786
2015-12-31,6.275
2015-09-30,5.896
