DateTime,AltmanZScore
2023-03-31,1.618
2022-12-31,2.218
2022-09-30,2.245
2022-06-30,2.472
2022-03-31,3.18
2021-12-31,2.603
2021-09-30,2.535
2021-06-30,2.766
2021-03-31,2.214
2020-12-31,1.812
2020-09-30,1.485
2020-06-30,1.181
2020-03-31,1.041
2019-12-31,1.143
2019-09-30,1.594
2019-06-30,2.043
2019-03-31,1.94
2018-12-31,2.013
2018-09-30,1.781
2018-06-30,1.766
2018-03-31,1.512
2017-12-31,1.504
2017-09-30,1.391
2017-06-30,1.557
2017-03-31,1.336
2016-12-31,1.141
2016-09-30,1.613
2016-06-30,1.616
2016-03-31,0.6585
2015-12-31,-0.0209
2015-09-30,-0.3349
2015-06-30,1.576
2015-03-31,4.005
2014-12-31,3.518
2014-09-30,2.733
2014-06-30,14.38
2014-03-31,40.27
2013-12-31,-0.9898
2013-09-30,-1.738
2013-06-30,-4.255
2013-03-31,-1.281
2012-12-31,-3.404
2012-09-30,-1.309
2012-06-30,5.052
2012-03-31,-3.574
2011-12-31,-4.842
2011-09-30,-14.89
2011-06-30,-13.3
2011-03-31,-11.39
2010-12-31,-5.4
