DateTime,AltmanZScore
2023-06-30,1.681
2023-03-31,1.459
2022-12-31,1.756
2022-09-30,1.607
2022-06-30,2.102
2022-03-31,2.422
2021-12-31,2.861
2021-09-30,2.197
2021-06-30,1.348
2021-03-31,1.349
2020-12-31,1.22
2020-09-30,1.206
2020-06-30,1.348
2020-03-31,1.304
2019-12-31,2.127
2019-09-30,2.04
2019-06-30,1.662
2019-03-31,2.421
2018-12-31,2.535
2018-09-30,4.948
2018-06-30,4.164
2018-03-31,3.591
2017-12-31,4.137
2017-09-30,3.639
2017-06-30,3.255
2017-03-31,2.912
2016-12-31,2.73
2016-09-30,3.129
2016-06-30,2.552
2016-03-31,2.321
2015-09-30,2.321
2015-07-31,24.22
2015-06-30,24.22
2015-04-30,27.13
2015-01-31,31.81
2014-10-31,33.96
2014-07-31,40.03
2014-04-30,29.78
2014-01-31,40.04
2013-10-31,34.37
2013-07-31,30.12
2013-04-30,23.29
2013-01-31,30.24
2012-10-31,29.26
2012-07-31,32.28
2012-04-30,24.47
2012-01-31,23.92
2011-10-31,16.52
2011-07-31,17.08
2011-04-30,18.35
