DateTime,AltmanZScore
2023-03-31,-0.582
2022-12-31,-0.6933
2022-09-30,2.921
2022-06-30,5.321
2022-03-31,20.36
2021-12-31,35.58
2021-09-30,16.2
2021-06-30,25.03
2021-03-31,24.3
2020-12-31,5.318
2020-09-30,2.938
2020-06-30,2.485
2020-03-31,-7.66
2019-12-31,-3.224
2019-09-30,-1.397
2019-06-30,-1.175
2019-03-31,-0.5757
2018-12-31,7.624
2018-09-30,-7.067
2018-06-30,-5.243
2018-03-31,-9.744
2017-12-31,-8.381
2017-09-30,-8.381
2017-06-30,-8.381
2017-03-31,-8.381
2016-12-31,0.8601
2016-09-30,0.8601
2016-06-30,0.8601
2016-03-31,0.8601
2015-12-31,4.126
