DateTime,AltmanZScore
2023-03-31,1.156
2022-12-31,1.154
2022-09-30,1.137
2022-06-30,1.223
2022-03-31,1.325
2021-12-31,1.271
2021-09-30,1.252
2021-06-30,1.241
2021-03-31,1.248
2020-12-31,1.212
2020-09-30,1.26
2020-06-30,1.228
2020-03-31,1.222
2019-12-31,1.257
2019-09-30,1.238
2019-06-30,1.171
2019-03-31,1.194
2018-12-31,1.13
2018-09-30,1.18
2018-06-30,1.2
2018-03-31,1.122
2017-12-31,1.142
2017-09-30,1.165
2017-06-30,1.181
2017-03-31,1.175
2016-12-31,1.164
2016-09-30,1.184
2016-06-30,1.224
2016-03-31,1.196
2015-12-31,1.108
2015-09-30,1.142
2015-06-30,1.122
2015-03-31,1.173
2014-12-31,1.18
2014-09-30,1.091
2014-06-30,1.153
2014-03-31,1.176
2013-12-31,1.105
2013-09-30,1.118
2013-06-30,1.121
2013-03-31,1.134
2012-12-31,1.065
2012-09-30,1.135
2012-06-30,1.16
2012-03-31,1.17
2011-12-31,1.196
2011-09-30,1.179
2011-06-30,1.226
2011-03-31,1.218
2010-12-31,1.228
