DateTime,AltmanZScore
2023-03-31,15.39
2022-12-31,15.82
2022-09-30,13.97
2022-06-30,16.0
2022-03-31,14.5
2021-12-31,15.25
2021-09-30,10.76
2021-06-30,10.43
2021-03-31,12.49
2020-12-31,12.06
2020-09-30,10.4
2020-06-30,10.79
2020-03-31,9.978
2019-12-31,13.49
2019-09-30,9.628
2019-06-30,11.71
2019-03-31,11.67
2018-12-31,27.89
2018-09-30,31.31
2018-06-30,14.11
2018-03-31,11.42
2017-12-31,10.65
2017-09-30,9.361
2017-06-30,10.11
2017-03-31,8.628
2016-12-31,7.593
2016-09-30,5.457
2016-06-30,5.808
2016-03-31,6.194
2015-12-31,6.48
2015-09-30,5.525
2015-06-30,6.662
2015-03-31,6.517
2014-12-31,7.217
2014-09-30,5.946
2014-06-30,7.053
2014-03-31,7.305
2013-12-31,6.981
2013-09-30,6.422
2013-06-30,6.061
2013-03-31,5.1
2012-12-31,4.84
2012-09-30,5.474
2012-06-30,5.689
2012-03-31,5.378
2011-12-31,5.365
2011-09-30,5.164
2011-06-30,5.06
2011-03-31,4.955
2010-12-31,6.056
