DateTime,AltmanZScore
2023-03-31,33.3
2022-12-31,18.91
2022-09-30,14.37
2022-06-30,14.66
2022-03-31,17.95
2021-12-31,21.04
2021-09-30,17.84
2021-06-30,16.29
2021-03-31,13.06
2020-12-31,13.17
2020-09-30,8.187
2020-06-30,7.808
2020-03-31,4.862
2019-12-31,5.701
2019-09-30,5.321
2019-06-30,3.732
2019-03-31,2.634
2018-12-31,1.436
2018-09-30,1.642
2018-06-30,0.8703
2018-03-31,0.7827
2017-12-31,0.6572
2017-09-30,0.5196
2017-06-30,1.053
2017-03-31,1.158
2016-12-31,1.039
2016-09-30,0.7683
2016-06-30,0.5185
2016-03-31,0.5459
2015-12-31,0.6515
2015-09-30,0.5085
2015-06-30,0.9619
2015-03-31,1.24
2014-12-31,8.274
2014-09-30,9.131
2014-06-30,8.586
2014-03-31,8.751
2013-12-31,7.024
2013-09-30,5.387
2013-06-30,6.369
2013-03-31,5.496
2012-12-31,5.309
2012-09-30,4.336
2012-06-30,4.365
2012-03-31,6.86
2011-12-31,6.593
2011-09-30,6.199
2011-06-30,8.775
2011-03-31,8.769
2010-12-31,8.237
