DateTime,AltmanZScore
2016-03-31,-12.35
2015-12-31,-14.01
2015-09-30,-5.246
2015-06-30,-4.796
2015-03-31,-4.999
2014-12-31,-4.248
2014-09-30,-3.867
2014-06-30,-3.394
2014-03-31,-4.699
2013-12-31,-4.118
2013-09-30,-6.849
2013-06-30,-7.256
2013-03-31,-7.604
2012-12-31,-6.591
2012-09-30,-2.532
2012-06-30,-2.234
2012-03-31,-1.723
2011-12-31,-1.689
2011-09-30,-1.247
2011-06-30,-1.096
2011-03-31,-0.7205
2010-12-31,-0.6872
2010-09-30,-0.9826
2010-06-30,-1.004
2010-03-31,-1.218
2009-12-31,-1.456
2009-09-30,-14.47
2009-06-30,-7.119
2009-03-31,-49.16
2008-12-31,-47.48
2008-09-30,-35.32
2008-06-30,-42.28
2008-03-31,-31.96
2007-12-31,-19.29
2007-09-30,-13.14
2007-06-30,-55.95
2007-03-31,-24.25
2006-12-31,-36.32
2006-09-30,-16.57
2006-06-30,-20.64
2006-03-31,-34.49
2005-12-31,-41.45
2005-09-30,-406.82
2005-06-30,-439.91
2005-03-31,-359.72
2004-12-31,-239.46
2004-09-30,-44.99
2004-06-30,-314.39
2004-03-31,-175.21
2003-12-31,-60.56
