DateTime,AltmanZScore
2023-03-31,-2.058
2022-12-31,-1.418
2022-09-30,1.66
2022-06-30,1.66
2022-03-31,1.66
2021-12-31,1.66
2021-09-30,1.66
2021-06-30,1.66
2021-03-31,1.66
2020-12-31,14.03
2020-09-30,14.03
2020-06-30,14.03
2020-03-31,14.03
2019-12-31,14.03
2019-09-30,14.03
2019-06-30,14.03
2019-03-31,14.03
2018-12-31,-1.307
2018-09-30,0.1564
2018-06-30,1.767
2018-03-31,3.724
2017-12-31,4.284
2017-09-30,3.058
2017-06-30,1.362
2017-03-31,9.514
2016-12-31,2.067
2016-09-30,3.813
2016-06-30,5.011
2016-03-31,13.01
2015-12-31,28.05
2015-09-30,35.48
2015-06-30,35.48
2015-03-31,35.48
2014-12-31,35.48
2014-09-30,35.48
2014-06-30,35.48
2014-03-31,35.48
2013-12-31,35.48
2013-09-30,35.48
2013-06-30,35.48
2013-03-31,35.48
2012-12-31,35.48
2012-09-30,35.48
2012-06-30,13.07
2012-03-31,7.438
2011-12-31,4.741
