DateTime,AltmanZScore
2023-03-31,3.102
2022-12-31,3.085
2022-09-30,3.119
2022-06-30,3.273
2022-03-31,3.137
2021-12-31,2.945
2021-09-30,2.673
2021-06-30,2.916
2021-03-31,2.844
2020-12-31,2.431
2020-09-30,1.96
2020-06-30,1.741
2020-03-31,1.845
2019-12-31,2.045
2019-09-30,1.892
2019-06-30,2.0
2019-03-31,2.023
2018-12-31,1.851
2018-09-30,1.763
2018-06-30,1.932
2018-03-31,1.971
2017-12-31,1.983
2017-09-30,2.28
2017-06-30,3.01
2017-03-31,3.54
2016-12-31,3.507
2016-09-30,3.575
2016-06-30,4.006
2016-03-31,4.27
2015-12-31,3.62
2015-09-30,3.239
2015-06-30,3.916
2015-03-31,3.862
2014-12-31,4.073
2014-09-30,4.118
2014-06-30,4.9
2014-03-31,6.011
2013-12-31,5.935
2013-09-30,4.994
2013-06-30,5.63
2013-03-31,5.71
2012-12-31,4.773
2012-09-30,4.788
2012-06-30,5.007
2012-03-31,5.189
2011-12-31,4.838
2011-09-30,4.864
2011-06-30,5.533
2011-03-31,5.054
2010-12-31,4.665
