DateTime,AltmanZScore
2023-03-31,0.3664
2022-12-31,0.3614
2022-09-30,0.3716
2022-06-30,0.4102
2022-03-31,0.4864
2021-12-31,0.4317
2021-09-30,0.3792
2021-06-30,0.3001
2021-03-31,0.2259
2020-12-31,0.1107
2020-09-30,0.0101
2020-06-30,0.1645
2020-03-31,0.1191
2019-12-31,0.2608
2019-09-30,0.2595
2019-06-30,0.2482
2019-03-31,0.2708
2018-12-31,0.167
2018-09-30,0.1217
2018-06-30,0.0047
2018-03-31,-0.0004
2017-12-31,0.2842
2017-09-30,-0.0569
2017-06-30,-0.0043
2017-03-31,0.0309
2016-12-31,0.0309
2016-09-30,0.3981
2016-06-30,0.4771
2016-03-31,0.5606
2015-12-31,0.5156
2015-09-30,0.5893
2015-06-30,0.6665
2015-03-31,0.737
2014-12-31,0.7135
2014-09-30,0.8494
2014-06-30,0.843
2014-03-31,0.9087
2013-12-31,0.9846
2013-09-30,0.8611
2013-06-30,0.8341
2013-03-31,0.8242
2012-12-31,0.7692
2012-09-30,0.8695
2012-06-30,0.8158
2012-03-31,0.6633
2011-12-31,0.6268
2011-09-30,0.474
2011-06-30,0.4854
2011-03-31,0.4587
2010-12-31,0.4647
