DateTime,AltmanZScore
2023-03-31,2.087
2022-12-31,1.932
2022-09-30,1.871
2022-06-30,2.07
2022-03-31,2.183
2021-12-31,2.163
2021-09-30,2.036
2021-06-30,2.071
2021-03-31,2.024
2020-12-31,1.975
2020-09-30,1.957
2020-06-30,2.016
2020-03-31,1.987
2019-12-31,2.186
2019-09-30,2.22
2019-06-30,2.22
2019-03-31,2.22
2018-12-31,1.96
2018-09-30,2.069
2018-06-30,2.114
2018-03-31,2.059
2017-12-31,2.186
2017-09-30,2.258
2017-06-30,2.252
2017-03-31,2.27
2016-12-31,2.221
2016-09-30,2.093
2016-06-30,2.053
2016-03-31,1.984
2015-12-31,1.906
2015-09-30,1.834
2015-06-30,1.758
2015-03-31,1.893
2014-12-31,1.94
2014-09-30,1.856
2014-06-30,1.913
2014-03-31,1.874
2013-12-31,1.818
2013-09-30,1.674
2013-06-30,1.69
2013-03-31,1.711
2012-12-31,1.604
2012-09-30,1.604
2012-06-30,1.604
2012-03-31,1.574
2011-12-31,1.653
2011-09-30,1.722
2011-06-30,1.709
2011-03-31,1.707
2010-12-31,1.685
