DateTime,AltmanZScore
2023-03-31,0.1744
2022-12-31,0.3382
2022-09-30,0.2309
2022-06-30,0.3184
2022-03-31,0.551
2021-12-31,0.7405
2021-09-30,1.277
2021-06-30,1.561
2021-03-31,3.384
2020-12-31,3.397
2020-09-30,0.3897
2020-06-30,0.496
2020-03-31,-0.2922
2019-12-31,0.044
2019-09-30,0.0832
2019-06-30,-0.3054
2019-03-31,-0.4443
2018-12-31,-0.7609
2018-09-30,-1.047
2018-06-30,-1.028
2018-03-31,-0.9199
2017-12-31,-0.4732
2017-09-30,0.4193
2017-06-30,1.264
2017-03-31,1.675
2016-12-31,1.678
2016-09-30,2.141
2016-06-30,2.837
2016-03-31,3.445
2015-12-31,2.256
2015-09-30,2.075
2015-06-30,1.894
2015-03-31,2.615
2014-12-31,2.318
2014-09-30,2.073
2014-06-30,2.426
