DateTime,AltmanZScore
2023-03-31,2.969
2022-12-31,2.848
2022-09-30,2.765
2022-06-30,2.762
2022-03-31,3.062
2021-12-31,3.368
2021-09-30,3.39
2021-06-30,3.474
2021-03-31,3.259
2020-12-31,2.859
2020-09-30,2.645
2020-06-30,2.411
2020-03-31,2.31
2019-12-31,2.968
2019-09-30,3.022
2019-06-30,3.192
2019-03-31,3.18
2018-12-31,2.889
2018-09-30,3.018
2018-06-30,2.652
2018-03-31,4.066
2017-12-31,4.261
2017-09-30,4.345
2017-06-30,4.52
2017-03-31,5.051
2016-12-31,4.778
2016-09-30,4.699
2016-06-30,4.249
2016-03-31,4.179
2015-12-31,4.034
2015-09-30,3.987
2015-06-30,5.729
2015-03-31,5.227
2014-12-31,5.271
2014-09-30,5.317
2014-06-30,4.834
2014-03-31,4.828
2013-12-31,4.745
2013-09-30,4.56
2013-06-30,3.793
2013-03-31,3.354
2012-12-31,4.568
2012-09-30,4.3
2012-06-30,4.032
2012-03-31,3.496
2011-12-31,3.197
2011-09-30,3.377
2011-06-30,3.789
2011-03-31,4.395
2010-12-31,4.06
