DateTime,AltmanZScore
2022-12-31,-2.38
2022-09-30,-0.9905
2022-06-30,-0.2475
2022-03-31,0.6063
2021-12-31,1.47
2021-09-30,2.049
2021-06-30,1.628
2021-03-31,1.872
2020-12-31,2.23
2020-09-30,0.8404
2020-06-30,1.4
2020-03-31,0.8359
2019-12-31,0.2108
2019-09-30,-0.2483
2019-06-30,0.1972
2019-03-31,-0.9567
2018-12-31,0.4504
2018-09-30,1.183
2018-06-30,3.057
2018-03-31,2.087
2017-12-31,0.892
2017-09-30,0.0766
2017-06-30,-0.8911
2017-03-31,-1.345
2016-12-31,0.0703
2016-09-30,0.5543
2016-06-30,0.6719
2016-03-31,1.875
2015-12-31,6.19
2015-09-30,7.276
2015-06-30,-5.145
2015-03-31,-7.517
2014-12-31,-6.8
2014-09-30,-7.303
2014-06-30,-7.361
2014-03-31,-7.566
2013-12-31,-8.587
2013-09-30,-6.836
2013-06-30,-6.491
2013-03-31,-6.091
2012-12-31,-5.037
2012-09-30,-4.477
2012-06-30,-4.83
2012-03-31,-4.696
2011-12-31,-4.954
2011-09-30,-5.605
2011-06-30,-3.856
2011-03-31,-3.182
2010-12-31,-3.321
2010-09-30,-5.481
