DateTime,AltmanZScore
2023-03-31,1.427
2022-12-31,1.436
2022-09-30,1.39
2022-06-30,4.374
2022-03-31,5.344
2021-12-31,5.718
2021-09-30,5.236
2021-06-30,5.878
2021-03-31,6.032
2020-12-31,5.181
2020-09-30,4.208
2020-06-30,4.248
2020-03-31,3.617
2019-12-31,4.234
2019-09-30,3.844
2019-06-30,3.471
2019-03-31,3.808
2018-12-31,5.381
2018-09-30,6.039
2018-06-30,6.634
2018-03-31,7.341
2017-12-31,6.115
2017-09-30,5.806
2017-06-30,4.378
2017-03-31,4.229
2016-12-31,3.519
2016-09-30,2.912
2016-06-30,2.556
2016-03-31,12.3
2015-12-31,12.54
2015-09-30,9.419
2015-06-30,10.08
2015-03-31,9.444
2014-12-31,10.39
2014-09-30,8.679
2014-06-30,8.401
2014-03-31,7.376
2013-12-31,6.781
2013-09-30,6.839
2013-06-30,8.465
2013-03-31,8.883
2012-12-31,7.745
2012-09-30,8.387
2012-06-30,9.845
2012-03-31,10.02
2011-12-31,9.278
2011-09-30,8.53
2011-06-30,8.942
2011-03-31,10.17
2010-12-31,8.058
