DateTime,AltmanZScore
2023-03-31,2.596
2022-12-31,3.183
2022-09-30,3.553
2022-06-30,3.043
2022-03-31,3.206
2021-12-31,3.229
2021-09-30,3.251
2021-06-30,3.889
2021-03-31,3.73
2020-12-31,5.521
2020-09-30,2.108
2020-06-30,2.22
2020-03-31,1.099
2019-12-31,4.436
2019-09-30,4.433
2019-06-30,5.246
2019-03-31,7.546
2018-12-31,7.386
2018-09-30,7.538
2018-06-30,10.88
2018-03-31,10.08
2017-12-31,8.366
2017-09-30,8.878
2017-06-30,11.31
2017-03-31,13.57
2016-12-31,6.305
2016-09-30,0.7323
2016-06-30,1.112
2016-03-31,1.375
2015-12-31,3.475
2015-09-30,3.115
2015-06-30,4.887
2015-03-31,5.327
2014-12-31,6.742
2014-09-30,6.812
2014-06-30,8.846
2014-03-31,6.733
2013-12-31,5.255
2013-09-30,4.332
2013-06-30,4.256
2013-03-31,4.168
2012-12-31,4.428
2012-09-30,7.417
2012-06-30,7.713
2012-03-31,11.52
2011-12-31,13.69
2011-09-30,11.25
2011-06-30,12.79
2011-03-31,18.26
2010-12-31,17.09
