DateTime,AltmanZScore
2023-03-31,1.347
2022-12-31,1.252
2022-09-30,1.12
2022-06-30,1.077
2022-03-31,1.716
2021-12-31,1.536
2021-09-30,1.889
2021-06-30,1.799
2021-03-31,1.508
2020-12-31,1.164
2020-09-30,1.065
2020-06-30,1.206
2020-03-31,1.335
2019-12-31,1.814
2019-09-30,1.705
2019-06-30,1.66
2019-03-31,1.695
2018-12-31,1.594
2018-09-30,2.178
2018-06-30,2.168
2018-03-31,1.777
2017-12-31,1.538
2017-09-30,1.307
2017-06-30,1.088
2017-03-31,0.8346
2016-12-31,0.8562
2016-09-30,0.4296
2016-06-30,0.7187
2016-03-31,0.8229
2015-12-31,1.034
2015-09-30,1.186
2015-06-30,1.202
2015-03-31,1.209
2014-12-31,1.708
2014-09-30,3.227
2014-06-30,3.423
2014-03-31,3.614
2013-12-31,3.546
2013-09-30,3.219
2013-06-30,3.21
2013-03-31,3.257
2012-12-31,2.769
2012-09-30,2.579
2012-06-30,2.487
2012-03-31,2.324
2011-12-31,2.117
2011-09-30,2.054
2011-06-30,2.168
2011-03-31,2.018
2010-12-31,1.785
