DateTime,AltmanZScore
2023-03-31,3.555
2022-12-31,3.719
2022-09-30,3.786
2022-06-30,4.176
2022-03-31,6.364
2021-12-31,7.802
2021-09-30,6.667
2021-06-30,6.606
2021-03-31,6.035
2020-12-31,5.827
2020-09-30,4.567
2020-06-30,4.534
2020-03-31,4.012
2019-12-31,4.581
2019-09-30,4.638
2019-06-30,8.88
2019-03-31,7.862
2018-12-31,7.916
2018-09-30,8.766
2018-06-30,8.244
2018-03-31,6.499
2017-12-31,6.299
2017-09-30,5.905
2017-06-30,5.409
2017-03-31,5.36
2016-12-31,5.092
2016-09-30,7.655
2016-06-30,7.596
2016-03-31,8.15
2015-12-31,7.909
2015-09-30,8.727
2015-06-30,7.998
2015-03-31,7.654
2014-12-31,6.969
2014-09-30,7.229
2014-06-30,6.934
2014-03-31,9.147
2013-12-31,8.446
2013-09-30,9.136
2013-06-30,8.842
2013-03-31,8.491
2012-12-31,7.605
2012-09-30,7.806
2012-06-30,7.355
2012-03-31,8.046
2011-12-31,7.445
2011-09-30,7.463
2011-06-30,7.927
2011-03-31,7.798
2010-12-31,6.809
