DateTime,AltmanZScore
2023-03-31,0.7131
2022-12-31,0.5288
2022-09-30,3.196
2022-06-30,4.163
2022-03-31,4.6
2021-12-31,5.029
2021-09-30,1.742
2021-06-30,1.731
2021-03-31,1.966
2020-12-31,0.0903
2020-09-30,-0.9863
2020-06-30,0.0871
2020-03-31,-0.1133
2019-12-31,0.5178
2019-09-30,0.6405
2019-06-30,0.3944
2019-03-31,0.7099
2018-12-31,0.4418
2018-09-30,1.024
2018-06-30,1.392
2018-03-31,0.8303
2017-12-31,0.4143
2017-09-30,0.363
2017-06-30,0.4143
2017-03-31,1.515
2016-12-31,1.885
2016-09-30,25.9
2016-06-30,11.9
