DateTime,AltmanZScore
2023-03-31,0.5191
2022-12-31,0.3863
2022-09-30,0.3927
2022-06-30,0.4763
2022-03-31,0.6151
2021-12-31,0.6105
2021-09-30,0.6627
2021-06-30,0.6391
2021-03-31,0.6462
2020-12-31,0.6361
2020-09-30,0.6065
2020-06-30,0.427
2020-03-31,0.3017
2019-12-31,0.4877
2019-09-30,0.3174
2019-06-30,0.4448
2019-03-31,0.3989
2018-12-31,0.4115
2018-09-30,0.406
2018-06-30,0.4098
2018-03-31,0.4327
2017-12-31,0.4334
2017-09-30,0.4068
2017-06-30,0.362
2017-03-31,0.3685
2016-12-31,0.3629
2016-09-30,0.3187
2016-06-30,0.3043
2016-03-31,0.3001
2015-12-31,0.2568
2015-09-30,0.2607
2015-06-30,0.2512
2015-03-31,0.2549
2014-12-31,0.2682
2014-09-30,0.3188
2014-06-30,0.3053
2014-03-31,0.3015
2013-12-31,0.2938
2013-09-30,0.357
2013-06-30,0.2893
2013-03-31,0.2893
2012-12-31,0.2507
2012-09-30,0.0921
2012-06-30,0.1067
2012-03-31,0.1067
2011-12-31,0.257
2011-09-30,0.0767
2011-06-30,0.1275
2011-03-31,0.1275
2010-12-31,0.1245
