DateTime,AltmanZScore
2023-06-30,4.829
2023-03-31,4.883
2022-12-31,4.116
2022-09-30,4.065
2022-06-30,4.183
2022-03-31,4.51
2021-12-31,5.146
2021-09-30,5.157
2021-06-30,4.934
2021-03-31,4.516
2020-12-31,4.22
2020-09-30,3.621
2020-06-30,3.708
2020-03-31,3.381
2019-12-31,3.33
2019-09-30,3.217
2019-06-30,3.819
2019-03-31,3.665
2018-12-31,3.545
2018-09-30,3.738
2018-06-30,4.37
2018-03-31,4.386
2017-12-31,4.3
2017-09-30,3.851
2017-06-30,4.048
2017-03-31,4.368
2016-12-31,4.018
2016-09-30,4.052
2016-06-30,4.012
2016-03-31,4.466
2015-12-31,4.303
2015-09-30,4.436
2015-06-30,4.659
2015-03-31,4.985
2014-12-31,4.706
2014-09-30,4.207
2014-06-30,4.196
2014-03-31,4.29
2013-12-31,4.092
2013-09-30,4.034
2013-06-30,4.111
2013-03-31,4.838
2012-12-31,4.374
2012-09-30,4.1
2012-06-30,3.866
2012-03-31,3.846
2011-12-31,3.714
2011-09-30,3.444
2011-06-30,3.879
2011-03-31,4.201
