DateTime,AltmanZScore
2023-03-31,3.956
2022-12-31,3.86
2022-09-30,3.994
2022-06-30,4.221
2022-03-31,5.052
2021-12-31,4.968
2021-09-30,4.624
2021-06-30,5.072
2021-03-31,4.601
2020-12-31,4.314
2020-09-30,3.94
2020-06-30,3.587
2020-03-31,3.54
2019-12-31,3.526
2019-09-30,3.23
2019-06-30,3.249
2019-03-31,3.328
2018-12-31,3.482
2018-09-30,3.722
2018-06-30,3.665
2018-03-31,3.914
2017-12-31,3.834
2017-09-30,3.288
2017-06-30,3.962
2017-03-31,3.496
2016-12-31,4.386
2016-09-30,4.659
2016-06-30,3.626
2016-03-31,3.555
2015-12-31,4.012
2015-09-30,4.491
2015-06-30,4.846
2015-03-31,4.82
2014-12-31,5.093
2014-09-30,4.997
2014-06-30,4.838
2014-03-31,4.504
2013-12-31,4.796
2013-09-30,5.166
2013-06-30,5.314
2013-03-31,5.2
2012-12-31,5.094
2012-09-30,5.311
2012-06-30,5.01
2012-03-31,5.027
2011-12-31,4.745
2011-09-30,4.303
2011-06-30,4.902
2011-03-31,3.83
2010-12-31,3.788
