DateTime,AltmanZScore
2023-03-31,9.83
2022-12-31,11.62
2022-09-30,11.1
2022-06-30,10.35
2022-03-31,7.945
2021-12-31,7.684
2021-09-30,8.985
2021-06-30,8.934
2021-03-31,9.453
2020-12-31,9.694
2020-09-30,8.147
2020-06-30,10.7
2020-03-31,8.072
2019-12-31,8.726
2019-09-30,8.29
2019-06-30,7.802
2019-03-31,8.156
2018-12-31,7.345
2018-09-30,12.88
2018-06-30,10.43
2018-03-31,8.628
2017-12-31,8.628
2017-09-30,8.628
2017-06-30,8.628
2017-03-31,8.628
2016-12-31,8.628
2016-09-30,8.628
2016-06-30,8.628
2016-03-31,8.628
2015-12-31,8.628
2015-09-30,8.628
2015-06-30,8.628
2015-03-31,8.628
2014-12-31,8.628
2014-09-30,8.628
2014-06-30,8.628
2014-03-31,8.628
2013-12-31,4.104
2013-09-30,6.714
2013-06-30,8.656
2013-03-31,7.928
2012-12-31,3.385
2012-09-30,2.148
2012-06-30,2.172
2012-03-31,1.632
2011-12-31,-1.624
2011-09-30,-2.668
2011-06-30,-4.49
2011-03-31,-4.677
2010-12-31,-4.792
