DateTime,AltmanZScore
2023-06-30,1.846
2023-03-31,2.148
2022-12-31,2.252
2022-09-30,1.879
2022-06-30,1.777
2022-03-31,2.133
2021-12-31,2.518
2021-09-30,2.687
2021-06-30,2.68
2021-03-31,2.22
2020-12-31,2.311
2020-09-30,2.58
2020-06-30,2.485
2020-03-31,2.018
2019-12-31,2.366
2019-09-30,2.432
2019-06-30,2.16
2019-03-31,1.926
2018-12-31,1.705
2018-09-30,1.82
2018-06-30,1.82
2018-03-31,1.672
2017-12-31,1.686
2017-09-30,1.583
2017-06-30,1.475
2017-03-31,1.431
2016-12-31,1.476
2016-09-30,1.557
2016-06-30,1.475
2016-03-31,1.683
2015-12-31,1.865
2015-09-30,1.753
2015-06-30,1.635
2015-03-31,1.604
2014-12-31,1.68
2014-09-30,1.532
2014-06-30,1.398
2014-03-31,1.347
2013-12-31,1.438
2013-09-30,1.272
2013-06-30,1.299
2013-03-31,1.819
2012-12-31,1.68
2012-09-30,1.678
2012-06-30,1.655
2012-03-31,1.774
2011-12-31,0.9702
2011-09-30,1.048
2011-06-30,0.9403
2011-03-31,0.705
