DateTime,AltmanZScore
2023-06-30,5.796
2023-03-31,4.919
2022-12-31,4.416
2022-09-30,3.969
2022-06-30,3.331
2022-03-31,5.196
2021-12-31,7.132
2021-09-30,7.55
2021-06-30,6.774
2021-03-31,6.622
2020-12-31,6.446
2020-09-30,5.956
2020-06-30,5.54
2020-03-31,4.801
2019-12-31,4.262
2019-09-30,3.933
2019-06-30,4.933
2019-03-31,5.227
2018-12-31,4.514
2018-09-30,6.505
2018-06-30,6.772
2018-03-31,5.824
2017-12-31,4.264
2017-09-30,4.446
2017-06-30,3.868
2017-03-31,4.353
2016-12-31,3.895
2016-09-30,3.533
2016-06-30,3.567
2016-03-31,3.95
2015-12-31,4.798
2015-09-30,4.567
2015-06-30,4.32
2015-03-31,3.295
2014-12-31,3.737
2014-09-30,4.577
2014-06-30,4.737
2014-03-31,4.098
2013-12-31,4.504
2013-09-30,4.283
2013-06-30,3.555
2013-03-31,3.085
2012-12-31,2.236
2012-09-30,1.953
2012-06-30,2.368
2012-03-31,2.964
2011-12-31,2.831
2011-09-30,4.84
2011-06-30,9.644
2011-03-31,13.0
