DateTime,AltmanZScore
2023-06-30,0.8619
2023-03-31,0.8643
2022-12-31,0.8869
2022-09-30,0.8592
2022-06-30,0.8624
2022-03-31,0.8996
2021-12-31,0.9095
2021-09-30,0.9051
2021-06-30,0.8944
2021-03-31,0.9046
2020-12-31,0.8922
2020-09-30,0.8349
2020-06-30,0.8509
2020-03-31,0.8942
2019-12-31,0.932
2019-09-30,0.9136
2019-06-30,0.8969
2019-03-31,0.9177
2018-12-31,0.9222
2018-09-30,0.9631
2018-06-30,0.974
2018-03-31,0.8963
2017-12-31,0.8668
2017-09-30,0.8724
2017-06-30,0.8566
2017-03-31,0.8506
2016-12-31,0.8639
2016-09-30,0.8494
2016-06-30,0.8443
2016-03-31,0.8602
2015-12-31,0.8326
2015-09-30,0.7944
2015-06-30,0.777
2015-03-31,0.7938
2014-12-31,0.8003
2014-09-30,0.7842
2014-06-30,0.7973
2014-03-31,0.8231
2013-12-31,0.8048
2013-09-30,0.8
2013-06-30,0.799
2013-03-31,0.8205
2012-12-31,0.7931
2012-09-30,0.5681
2012-06-30,0.5892
2012-03-31,0.5822
2011-12-31,0.7679
2011-09-30,0.5298
2011-06-30,0.5123
2011-03-31,0.5367
