DateTime,AltmanZScore
2023-03-31,6.891
2022-12-31,5.761
2022-09-30,5.08
2022-06-30,5.085
2022-03-31,5.682
2021-12-31,6.377
2021-09-30,5.59
2021-06-30,8.714
2021-03-31,8.675
2020-12-31,7.606
2020-09-30,6.637
2020-06-30,6.441
2020-03-31,5.136
2019-12-31,5.275
2019-09-30,4.95
2019-06-30,6.299
2019-03-31,6.115
2018-12-31,5.112
2018-09-30,4.887
2018-06-30,4.344
2018-03-31,3.799
2017-12-31,3.58
2017-09-30,3.172
2017-06-30,4.166
2017-03-31,3.316
2016-12-31,3.636
2016-09-30,3.213
2016-06-30,2.828
2016-03-31,2.653
2015-12-31,2.563
2015-09-30,2.366
2015-06-30,2.465
2015-03-31,2.136
2014-12-31,2.37
2014-09-30,1.89
2014-06-30,1.848
2014-03-31,1.89
2013-12-31,2.435
2013-09-30,1.923
2013-06-30,1.547
2013-03-31,1.528
2012-12-31,2.253
2012-09-30,2.123
2012-06-30,2.55
2012-03-31,2.655
2011-12-31,2.39
2011-09-30,1.879
2011-06-30,2.093
2011-03-31,1.752
2010-12-31,1.796
