DateTime,AltmanZScore
2023-03-31,37.54
2022-12-31,28.07
2022-09-30,24.18
2022-06-30,16.32
2022-03-31,17.76
2021-12-31,23.03
2021-09-30,23.11
2021-06-30,16.49
2021-03-31,17.52
2020-12-31,14.71
2020-09-30,13.06
2020-06-30,12.24
2020-03-31,11.01
2019-12-31,17.46
2019-09-30,15.63
2019-06-30,25.93
2019-03-31,21.09
2018-12-31,16.35
2018-09-30,15.76
2018-06-30,20.26
2018-03-31,15.95
2017-12-31,11.91
2017-09-30,12.55
2017-06-30,10.85
2017-03-31,12.79
2016-12-31,11.94
2016-09-30,9.915
2016-06-30,8.59
2016-03-31,8.071
2015-12-31,7.863
2015-09-30,7.192
2015-06-30,6.508
2015-03-31,6.576
2014-12-31,5.934
2014-09-30,5.682
2014-06-30,6.043
2014-03-31,6.819
2013-12-31,6.551
2013-09-30,5.615
2013-06-30,4.985
2013-03-31,4.579
2012-12-31,4.268
2012-09-30,4.074
2012-06-30,3.756
2012-03-31,3.597
2011-12-31,3.202
2011-09-30,2.943
2011-06-30,3.251
2011-03-31,2.69
2010-12-31,2.494
