DateTime,AltmanZScore
2023-06-30,2.64
2023-03-31,2.268
2022-12-31,2.255
2022-09-30,2.212
2022-06-30,2.232
2022-03-31,1.925
2021-12-31,2.051
2021-09-30,1.816
2021-06-30,1.847
2021-03-31,1.751
2020-12-31,1.638
2020-09-30,1.444
2020-06-30,1.559
2020-03-31,1.437
2019-12-31,1.504
2019-09-30,1.438
2019-06-30,1.518
2019-03-31,1.604
2018-12-31,1.346
2018-09-30,1.482
2018-06-30,1.7
2018-03-31,1.549
2017-12-31,2.174
2017-09-30,2.135
2017-06-30,2.284
2017-03-31,2.432
2016-12-31,2.11
2016-09-30,1.991
2016-06-30,1.582
2016-03-31,1.575
2015-12-31,2.084
2015-09-30,2.471
2015-06-30,6.735
2015-03-31,6.673
2014-12-31,6.454
2014-09-30,8.458
2014-06-30,8.279
2014-03-31,6.559
2013-12-31,5.881
2013-09-30,5.844
2013-06-30,5.3
2013-03-31,5.125
2012-12-31,5.484
2012-09-30,4.808
2012-06-30,4.16
2012-03-31,3.84
2011-12-31,3.657
2011-09-30,3.117
2011-06-30,4.485
2011-03-31,4.947
