DateTime,AltmanZScore
2023-05-31,5.951
2023-02-28,6.316
2022-11-30,6.789
2022-08-31,5.8
2022-05-31,6.26
2022-02-28,6.94
2021-11-30,8.569
2021-08-31,13.08
2021-05-31,14.04
2021-02-28,12.99
2020-11-30,9.209
2020-08-31,9.676
2020-05-31,11.38
2020-02-29,11.81
2019-11-30,12.28
2019-08-31,10.47
2019-05-31,12.69
2019-02-28,15.48
2018-11-30,17.4
2018-08-31,15.42
2018-05-31,16.11
2018-02-28,11.46
2017-11-30,11.67
2017-08-31,12.12
2017-05-31,11.78
2017-02-28,10.52
2016-11-30,11.25
2016-08-31,11.39
2016-05-31,10.64
2016-02-29,14.43
2015-11-30,14.96
2015-08-31,13.65
2015-05-31,15.3
2015-02-28,24.19
2014-11-30,20.0
2014-08-31,14.68
2014-05-31,17.2
2014-02-28,24.37
2013-11-30,10.74
2013-08-31,10.76
2013-05-31,9.733
2013-02-28,12.7
2012-11-30,7.565
2012-08-31,7.533
2012-05-31,9.022
2012-02-29,13.52
2011-11-30,11.03
2011-08-31,9.85
2011-05-31,9.834
2011-02-28,10.51
