DateTime,AltmanZScore
2023-06-30,182.9
2023-03-31,113.83
2022-12-31,85.37
2022-09-30,38.45
2022-06-30,91.17
2022-03-31,57.24
2021-12-31,129.82
2021-09-30,106.95
2021-06-30,86.84
2021-03-31,128.59
2020-12-31,114.55
2020-09-30,98.5
2020-06-30,89.23
2020-03-31,102.93
2019-12-31,236.37
2019-09-30,201.81
2019-06-30,147.5
2019-03-31,342.97
2018-12-31,296.48
2018-09-30,432.48
2018-06-30,221.63
2018-03-31,246.52
2017-12-31,317.49
2017-09-30,278.59
2017-06-30,94.22
2017-03-31,221.99
2016-12-31,202.18
2016-09-30,138.26
2016-06-30,61.1
2016-03-31,105.47
2015-12-31,106.0
2015-09-30,125.41
2015-06-30,91.42
2015-03-31,116.38
2014-12-31,151.76
2014-09-30,134.8
2014-06-30,48.61
2014-03-31,110.0
2013-12-31,122.97
2013-09-30,91.12
2013-06-30,60.09
2013-03-31,94.49
2012-12-31,93.45
2012-09-30,91.29
2012-06-30,57.34
2012-03-31,94.25
2011-12-31,116.95
2011-09-30,127.03
2011-06-30,55.88
2011-03-31,88.97
