DateTime,AltmanZScore
2023-03-31,1.31
2022-12-31,1.289
2022-09-30,1.272
2022-06-30,1.312
2022-03-31,1.326
2021-12-31,1.329
2021-09-30,1.329
2021-06-30,1.335
2021-03-31,1.365
2020-12-31,1.392
2020-09-30,0.7482
2020-06-30,0.7418
2020-03-31,0.697
2019-12-31,0.758
2019-09-30,0.758
2019-06-30,0.758
2019-03-31,0.6932
2018-12-31,0.6861
2018-09-30,0.7134
2018-06-30,0.7134
2018-03-31,0.7007
2017-12-31,0.7222
2017-09-30,0.7159
2017-06-30,0.709
2017-03-31,0.6941
2016-12-31,0.6889
2016-09-30,0.368
2016-06-30,0.3454
2016-03-31,0.3454
2015-12-31,0.6505
2015-09-30,0.6379
2015-06-30,0.6513
2015-03-31,0.3644
2014-12-31,0.6793
2014-09-30,0.6661
2014-06-30,0.6868
2014-03-31,0.6756
2013-12-31,0.6763
2013-09-30,0.6717
2013-06-30,0.6741
2013-03-31,0.6797
2012-12-31,0.6748
2012-09-30,0.3348
2012-06-30,0.3201
2012-03-31,0.3094
2011-12-31,0.6338
2011-09-30,0.3229
2011-06-30,0.3457
2011-03-31,0.3507
2010-12-31,0.355
