DateTime,AltmanZScore
2023-03-31,0.0148
2022-12-31,0.3613
2022-09-30,1.675
2022-06-30,2.872
2022-03-31,3.689
2021-12-31,4.12
2021-09-30,3.971
2021-06-30,4.658
2021-03-31,4.583
2020-12-31,5.188
2020-09-30,3.979
2020-06-30,3.244
2020-03-31,3.02
2019-12-31,3.915
2019-09-30,1.885
2019-06-30,0.8854
2019-03-31,-1.019
2018-12-31,-1.886
2018-09-30,-1.702
2018-06-30,-1.276
2018-03-31,-1.529
2017-12-31,-1.802
2017-09-30,-1.428
2017-06-30,-0.7245
2017-03-31,0.372
2016-12-31,0.7105
2016-09-30,0.118
2016-06-30,-0.101
2016-03-31,0.0739
2015-12-31,1.285
2015-09-30,1.35
2015-06-30,1.004
2015-03-31,1.557
2014-12-31,1.441
2014-09-30,2.738
2014-06-30,3.366
2014-03-31,5.068
2013-12-31,4.472
2013-09-30,2.911
2013-06-30,2.104
2013-03-31,2.129
2012-12-31,1.403
2012-09-30,1.357
2012-06-30,2.105
2012-03-31,2.238
2011-12-31,2.536
2011-09-30,2.824
2011-06-30,2.995
2011-03-31,3.739
2010-12-31,2.71
