DateTime,AltmanZScore
2020-12-31,-7.33
2020-09-30,-6.093
2020-06-30,-21.66
2020-03-31,-11.16
2019-12-31,-8.704
2019-09-30,-9.919
2019-06-30,-10.92
2019-03-31,-9.896
2018-12-31,-11.09
2018-09-30,-10.92
2018-06-30,-5.654
2018-03-31,-6.751
2017-12-31,-1.382
2017-09-30,-0.108
2017-06-30,-8.425
2017-03-31,-9.33
2016-12-31,-8.771
2016-09-30,-7.19
2016-06-30,-14.44
2016-03-31,-17.69
2015-12-31,-10.78
2015-09-30,-13.1
2015-06-30,-3.77
2015-03-31,0.6329
2014-12-31,-55.25
2014-09-30,-18.3
2014-06-30,-6.024
2014-03-31,-3.549
2013-12-31,-22.81
2013-09-30,-36.44
2013-06-30,-17.39
2013-03-31,-22.36
2012-12-31,-12.46
2012-09-30,-7.842
2012-06-30,-33.45
2012-03-31,-12.52
2011-12-31,-10.29
2011-09-30,-6.382
2011-06-30,-4.864
2011-03-31,-2.401
2010-12-31,-1.449
2010-09-30,-0.05
2010-06-30,1.376
2010-03-31,1.797
2009-12-31,1.948
