DateTime,AltmanZScore
2023-03-31,-19.14
2022-12-31,-16.44
2022-09-30,-13.92
2022-06-30,-11.52
2022-03-31,-9.691
2021-12-31,-7.717
2021-09-30,-5.623
2021-06-30,-8.623
2021-03-31,-0.8879
2020-12-31,-29.79
2020-09-30,-23.51
2020-06-30,-17.84
2020-03-31,-16.01
2019-12-31,-23.91
2019-09-30,-104.63
2019-06-30,-71.83
2019-03-31,-53.98
2018-12-31,-32.85
2018-09-30,-23.22
2018-06-30,-17.57
2018-03-31,-68.74
2017-12-31,-119.39
2017-09-30,-65.69
2017-06-30,-33.79
2017-03-31,-32.52
2016-12-31,-22.33
2016-09-30,-16.3
2016-06-30,-29.69
2016-03-31,-24.32
2015-12-31,-19.95
2015-09-30,-20.75
2015-06-30,-19.73
2015-03-31,-14.72
2014-12-31,-10.41
2014-09-30,-6.685
2014-06-30,-4.31
2014-03-31,-1.995
2013-12-31,2.166
2013-09-30,8.822
