DateTime,AltmanZScore
2019-12-31,-2.082
2019-09-30,-8.422
2019-06-30,-4.001
2019-03-31,6.97
2018-12-31,6.728
2018-09-30,11.92
2018-06-30,16.73
2018-03-31,5.285
2017-12-31,10.57
2017-09-30,22.75
2017-06-30,31.78
2017-03-31,24.47
2016-12-31,36.58
2016-09-30,36.82
2016-06-30,46.38
2016-03-31,18.15
2015-12-31,21.64
2015-09-30,24.12
2015-06-30,37.77
2015-03-31,32.13
2014-12-31,89.26
2014-09-30,95.55
2014-06-30,123.07
2014-03-31,185.13
2013-12-31,173.42
2013-09-30,89.93
2013-06-30,10.84
2012-12-31,-8.796
