DateTime,AltmanZScore
2023-06-30,0.5342
2023-03-31,0.564
2022-12-31,0.6198
2022-09-30,0.5834
2022-06-30,0.6215
2022-03-31,0.6772
2021-12-31,0.6524
2021-09-30,0.7828
2021-06-30,0.75
2021-03-31,0.7129
2020-12-31,0.6237
2020-09-30,0.5936
2020-06-30,0.5843
2020-03-31,0.552
2019-12-31,0.6082
2019-09-30,0.5782
2019-06-30,0.5623
2019-03-31,0.5499
2018-12-31,0.5212
2018-09-30,0.5701
2018-06-30,0.5456
2018-03-31,0.6165
2017-12-31,0.5658
2017-09-30,0.555
2017-06-30,0.5338
2017-03-31,0.5436
2016-12-31,0.5526
2016-09-30,0.6325
2016-06-30,0.6249
2016-03-31,0.5087
2015-12-31,0.5031
2015-09-30,0.4628
2015-06-30,0.4614
2015-03-31,0.456
2014-12-31,0.4302
2014-09-30,0.4051
2014-06-30,0.4287
2014-03-31,0.4235
2013-12-31,0.4285
2013-09-30,0.4228
2013-06-30,0.5385
2013-03-31,0.527
2012-12-31,0.4534
2012-09-30,0.1564
2012-06-30,0.1774
2012-03-31,0.148
2011-12-31,0.3382
2011-09-30,0.174
2011-06-30,0.1773
2011-03-31,0.1471
