DateTime,AltmanZScore
2023-03-31,-1.488
2022-12-31,-1.721
2022-09-30,-1.168
2022-06-30,-0.6297
2022-03-31,0.2147
2021-12-31,0.537
2021-09-30,0.8752
2021-06-30,1.055
2021-03-31,1.761
2020-12-31,0.0995
2020-09-30,-1.073
2020-06-30,-1.87
2020-03-31,-2.601
2019-12-31,0.188
2019-09-30,-0.0503
2019-06-30,0.5368
2019-03-31,0.8578
2018-12-31,0.7979
2018-09-30,1.689
2018-06-30,1.515
2018-03-31,2.725
2017-12-31,2.868
2017-09-30,1.992
2017-06-30,1.683
2017-03-31,2.249
2016-12-31,1.722
2016-09-30,0.6254
2016-06-30,0.0795
2016-03-31,-0.1911
2015-12-31,0.2737
2015-09-30,0.4531
2015-06-30,0.5606
2015-03-31,0.5945
2014-12-31,0.6292
2014-09-30,0.9499
2014-06-30,1.1
2014-03-31,1.063
2013-12-31,1.059
2013-09-30,0.9807
2013-06-30,0.9492
2013-03-31,1.2
2012-12-31,1.217
