DateTime,AltmanZScore
2023-03-31,0.2359
2022-12-31,-0.3775
2022-09-30,-0.3444
2022-06-30,-0.3838
2022-03-31,0.3154
2021-12-31,1.631
2021-09-30,2.537
2021-06-30,3.913
2021-03-31,3.856
2020-12-31,35.97
2020-09-30,1.266
2020-06-30,-5.54
2020-03-31,-4.861
2019-12-31,-5.958
2019-09-30,-6.989
2019-06-30,-3.94
2019-03-31,-1.383
2018-12-31,3.051
2018-09-30,1.826
2018-06-30,-4.81
2018-03-31,-5.704
2017-12-31,-6.159
2017-09-30,-1.73
2017-06-30,-2.946
2017-03-31,-4.668
2016-12-31,-4.416
2016-09-30,2.658
2016-06-30,1.297
2016-03-31,2.077
2015-12-31,3.976
2015-09-30,-7.368
2015-06-30,-6.703
2015-03-31,-5.958
2014-12-31,-3.023
2014-09-30,-4.976
2014-06-30,-4.058
2014-03-31,-3.407
2013-12-31,-3.961
2013-09-30,-2.985
2013-06-30,-4.074
2013-03-31,-3.739
2012-12-31,-4.233
2012-09-30,-2.65
2012-06-30,-1.469
2012-03-31,0.3464
2011-12-31,0.1037
2011-09-30,0.7861
2011-06-30,10.86
2011-03-31,12.41
2010-12-31,17.53
